Part Number,Product Name,Marketing name,Tagline,KSP,Link,Part Number,Title,CPU,GPU,OS,Office,Panel Size,Resolution,Brightness,RAM,SSD,IO Port,Weight (with Battery),Size,Expansion Slot,Include in the box,Battery,Power Supply,Security
90NX,B1402CBA_ID-NK7850X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,https://drive.google.com/drive/folders/1Vo1jpHMCrMBRrGxqaMBYjJYY4bfRUZ8K?usp=drive_link,90NX,ASUS ExpertBook B1 (i7-1255U/8GB/512GB/Win 11 Pro/B1402CBA_ID),Intel® Core™ i7-1255U 1.7 GHz,Intel® UHD Graphics,Windows 11 Pro,M365 FREE TRIAL 30D(WW),"14""",FHD 1920X1080 16:9,250nits,DDR4 8GB,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4, up to 1920x1080p/60Hz
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.499 Kg,32.69 x 21.45 x 1.99 ~ 1.99 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Backpack
Carry bag
USB-C to USB-C cable",42WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX04S1-M00TA0,B3402FBA-EC7150X,ASUS ExpertBook B3,Configured to advance your business with AI,0,https://drive.google.com/drive/folders/199qT6HUPT83bulC5Ao62Jz0shUaQXns8?usp=drive_link,90NX04S1-M00TA0,ASUS ExpertBook B3 (i7-1255U/16GB/512GB/Win 11 Pro/B3402FBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,250nits,DDR4 16GB,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet",1.612 Kg,32.90 x 22.39 x 1.92 ~ 1.95 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4","Backpack
MPP 2.0 garaged stylus",50WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX04T1-M001N0,B5302FBA-LG7110X,ASUS ExpertBook B5,0,0,0,90NX04T1-M001N0,ASUS ExpertBook B5 (i7-1255U/16GB/1TB/Win 11 Pro/B5302FBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"13""",FHD 1920X1080 16:9,300nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack",0.258 Kg,30.90 x 21.06 x 1.69 ~ 1.69 cm,"1x DDR5 SO-DIMM slots
2x M.2 2280 PCIe 4.0x4","Backpack
Micro HDMI to LAN
MPP 2.0 ASUS Pen",66WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX04U1-M004P0,B6602FC2-MH7310X,ASUS ExpertBook B6 Flip,"Work strong, stay flexible.","- Mobile work station with stylus: Core i7 HX vPro and RTX A2000 drive 3D, AI, BIM workloads
- 16″ 360° flip touchscreen, showing 2.5K 500nits with 100 % DCI-P3
- 4 DDR5 slots up to 128G RAM and 2 M.2 bays support up to 4TB storage",https://drive.google.com/drive/folders/1Dm7-nV2JIynNkxE4ttfTJveg-87FhmSI?usp=drive_link,90NX04U1-M004P0,ASUS ExpertBook B6 Flip (i7-12850HX/32GB/1TB/RTX A2000/Win 11 Pro/B6602FC2),Intel® Core™ i7-12850HX vPro® 2.1 GHz,NVIDIA® Quadro® RTX A2000 8GB ( 8GB GDDR6 ),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"16""",WQXGA(WQ) 2560X1600 16:10,500nits(HDR),DDR5 32GB,1TB 2280 PCIE G4 (PERFORMANCE) SSD,"2x USB 3.1 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Smart card reader",0.352 Kg,38.30 x 27.20 x 2.70 ~ 2.70 cm,"4 x DDR5 SO-DIMM slots
2x M.2 2280 PCIe 4.0x4","Backpack
MPP 2.0 ASUS Pen",90WHrs,"ø6.0, 240W AC Adapter","W/FINGERPRINT,SMART CARD"
90NX04V1-M00870,B7402FBA-LA7310X,ASUS ExpertBook B7 Flip,"Work unbounded, with 5G connectivity","- 360° flip touchscreen with ASUS Pen support
- Ultralight at 1.24 kg and powered all day by a 63 Wh battery
- Smart card reader plus twin SO-DIMM slots up to 64G RAM, and a M.2 bay up to 2 TB SSD keep connected and upgrade-ready",https://drive.google.com/drive/folders/1JarT1pNI0yCLeKAuzXbneFpVXI-0bvLl?usp=drive_link,90NX04V1-M00870,ASUS ExpertBook B7 Flip (i7-1260P/32GB/1TB/Win 11 Pro/B7402FBA),Intel® Core™ i7-1260P 2.1 GHz,Intel® UHD Graphics,Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",WUXGA(WU) 1920X1200 16:10,500nits,DDR5 32GB,1TB 2280 PCIE G4 (PERFORMANCE) SSD,"2x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x mini DisplayPort
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack
SIM card slot
Smart card reader",0.227 Kg,32.00 x 23.42 x 1.80 ~ 1.89 cm,"2x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 4.0x4","Backpack
Micro HDMI to RJ45 gigabit ethernet adapter
MPP 2.0 ASUS Pen
Wireless optical mouse",63WHrs,"TYPE-C, 65W AC Adapter","W/FINGERPRINT,NFC,SMART CARD"
90NX04V1-M00J30,B7402FBA-LA7311X,ASUS ExpertBook B7 Flip,"Work unbounded, with 5G connectivity","- 360° flip touchscreen with ASUS Pen support
- Ultralight at 1.24 kg and powered all day by a 63 Wh battery
- Smart card reader plus twin SO-DIMM slots up to 64G RAM, and a M.2 bay up to 2 TB SSD keep connected and upgrade-ready",https://drive.google.com/drive/folders/1cVPRk9-10dKbHS_DYUhNKNmpZnoG_Djy?usp=drive_link,90NX04V1-M00J30,ASUS ExpertBook B7 Flip (i7-1260P/32GB/1TB/Win 11 Pro/B7402FBA),Intel® Core™ i7-1260P 2.1 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",WUXGA(WU) 1920X1200 16:10,500nits,DDR5 32GB,1TB 2280 PCIE G4 (PERFORMANCE) SSD,"2x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x mini DisplayPort
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack
SIM card slot
Smart card reader",0.227 Kg,32.00 x 23.42 x 1.80 ~ 1.89 cm,"2x DDR5 SO-DIMM slots
1x M.2 2280 PCIe 4.0x4","Backpack
Micro HDMI to RJ45 gigabit ethernet adapter
MPP 2.0 ASUS Pen
Wireless optical mouse",63WHrs,"TYPE-C, 65W AC Adapter","W/FINGERPRINT,NFC,SMART CARD"
90NX04W1-M001J0,B5302CBA-EG7110X,ASUS ExpertBook B5,"Business excellence, anywhere you work","- Ultralight at 1.1  kg, fitted with a FHD display covering 72% NTSC
- Full I/O: 2xThunderbolt 4, USB-A, HDMI 2.1, RJ-45 and an integrated Smart-Card reader
- Upgradable with 1 build-in and 1 SO-DIMM slots up to 40GB RAM and 2 M.2 bays up to 2TB SSD",https://drive.google.com/drive/folders/1Q0rThtF9FqsuqsougGBDHz-PHjFrE17i?usp=drive_link,90NX04W1-M001J0,ASUS ExpertBook B5 (i7-1255U/16GB/1TB/Win 11 Pro/B5302CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"13""",FHD 1920X1080 16:9,300nits,DDR5 16GB,1TB 2280 PCIE G4 SSD,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack",0.258 Kg,30.90 x 21.06 x 1.69 ~ 1.69 cm,"1x DDR5 SO-DIMM slots
2x M.2 2280 PCIe 4.0x4","Backpack
Micro HDMI to LAN",66WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX04Z1-M00E60,B9400CBA-KC7320X,ASUS ExpertBook B9,The epitome of sustainable excellence,"- 1.1kg magnesium-lithium body packs an ultra-narrow bezel 14″ FHD display and 66 Wh battery for all-day productivity
- Top-tier business-grade security with NFC login, TPM 2.0, Adaptivelock, and Kensington Nano slot
- Worry-free durability with 3-year international warranty and 24 military-grade tests passed",https://drive.google.com/drive/folders/1yggxxtITt84pOQ1T6zttjCu2HWH-7Z1L?usp=drive_link,90NX04Z1-M00E60,ASUS ExpertBook B9 (i7-1255U/32GB/2TB/Win 11 Pro/B9400CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9(1W),400nits,LPDDR5 32GB,2TB 2280 PCIE G4 (PERFORMANCE) SSD,"1x USB 3.2 Gen 2 Type-A
2x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 2.0b
1x micro HDMI (RJ45 lan)
1x 3.5mm Combo Audio Jack",1.133 Kg,32.00 x 20.30 x 1.49 ~ 1.49 cm,2x M.2 2280 PCIe 4.0x4,"Micro HDMI to RJ45 gigabit ethernet adapter
Sleeve",66WHrs,"TYPE-C, 65W AC Adapter",W/FINGERPRINT
90NX0571-M00LS0,B1400CBA-EK7850X,ASUS ExpertBook B1,Primed to perform. Configured for your bussiness.,0,https://drive.google.com/drive/folders/1K5D-0tItjqLKzxRd7A6VTzYfejxI_YS-?usp=drive_link,90NX0571-M00LS0,ASUS ExpertBook B1 (i7-1255U/8GB/512GB/Win 11 Pro/B1400CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel® UHD Graphics,Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,220nits,DDR4 8GB,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Micro SD card reader",0.185 Kg,32.34 x 21.56 x 1.92 ~ 1.92 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4
1x STD 2.5” SATA HDD",Backpack,42WHrs,"ø4.5, 65W AC Adapter",W/FINGERPRINT
90NX0571-M00M60,B1400CBA-EK7150X,ASUS ExpertBook B1,0,0,0,90NX0571-M00M60,ASUS ExpertBook B1 (i7-1255U/16GB/512GB/Win 11 Pro/B1400CBA),Intel® Core™ i7-1255U 1.7 GHz,Intel Iris Xᵉ Graphics (available for Intel® Core™ i5/i7/i9 with dual channel memory),Windows 11 Pro,MICROSOFT 365 FREE TRIAL 30D,"14""",FHD 1920X1080 16:9,220nits,DDR4 16GB,512GB 2280 PCIE G4 SSD,"1x USB 2.0 Type-A
2x USB 3.2 Gen 2 Type-A
1x Thunderbolt™ 4, compliant with USB4, supports display / power delivery
1x HDMI 1.4
1x VGA Port (D-Sub)
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
1x DC-in
Micro SD card reader",0.185 Kg,32.34 x 21.56 x 1.92 ~ 1.92 cm,"1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 4.0x4
1x STD 2.5” SATA HDD",Backpack,42WHrs,"ø4.5, 65W AC Adapter",W/FINGERPRINT
